company_names,cars_names,engines,horsepower,cars_prices,fuel_types,seats
TOYOTA,COROLLA,I4,139.0,22500.0,Petrol/Hybrid,5
TOYOTA,PRIUS,I4,121.0,26700.0,Hybrid,5
TOYOTA,RAV4,I4,203.0,27100.0,Petrol/Hybrid,5
TOYOTA,HIGHLANDER,V6,295.0,38400.0,Petrol/Hybrid,7
TOYOTA,4RUNNER,V6,270.0,37400.0,Petrol,5
TOYOTA,TACOMA,I4,159.0,26400.0,Petrol,5
TOYOTA,TUNDRA,V8,381.0,39900.0,Petrol,5
TOYOTA,AVALON,V6,301.0,41400.0,Petrol,5
TOYOTA,MIRAI,I4,151.0,52400.0,Hydrogen,5
TOYOTA,SIENNA,V6,245.0,44150.0,Petrol/Hybrid,7
TOYOTA,VENZA,I4,219.0,33400.0,Hybrid,5
TOYOTA,HIGHLANDER HYBRID,V6,240.0,40400.0,Hybrid,7
TOYOTA,LAND CRUISER PRADO,V6,282.0,49400.0,Petrol/Diesel,7
TOYOTA,TUNDRA HYBRID,V6,344.0,43400.0,Hybrid,5
TOYOTA,YARIS,I4,106.0,18400.0,Petrol,5
TOYOTA,C-HR,I4,144.0,24400.0,Petrol/Hybrid,5
TOYOTA,BZ4X,ELECTRIC,218.0,43400.0,Electric,5
TOYOTA,CROWN,HYBRID,236.0,38400.0,Hybrid,5
TOYOTA,MR2,I4,168.0,29000.0,Petrol,2
TOYOTA,CELICA,I4,140.0,25000.0,Petrol,5
HONDA,CITY,I4,119.0,15400.0,Petrol/Hybrid,5
HONDA,CIVIC,I4,158.0,20400.0,Petrol,5
HYUNDAI,I10,"1.2L,INLINE-4(I4)",160.0,12.2,12400.0,5,120.0
HYUNDAI,I20,"1.4L,INLINE-4(I4)",180.0,10.5,15400.0,5,250.0
HYUNDAI,ELANTRA,"2.0L,INLINE-4(I4)",200.0,9.5,18400.0,5,250.0
MAHINDRA,XUV500,"2.2L,INLINE-4(I4)",180.0,10.5,18400.0,7,400.0
MAHINDRA,SCORPIO,"2.2L,INLINE-4(I4)",160.0,11.2,16400.0,7,280.0
MAHINDRA,THAR,"2.0L,INLINE-4(I4)",180.0,10.5,20400.0,4,320.0
MARUTI SUZUKI,SWIFT,"1.2L,INLINE-4(I4)",160.0,12.2,10400.0,5,113.0
MARUTI SUZUKI,DZIRE,"1.2L,INLINE-4(I4)",160.0,12.2,11400.0,5,113.0
MARUTI SUZUKI,BREZZA,"1.5L,INLINE(I4)",180.0,11.5,14400.0,5,200.0
TOYOTA,PRIUS PRIME,"2.0L,WITH HYBRID SYSTEM",180.0,6.7,31100.0,5,220.0
TOYOTA,GR COROLLA,"1.6L,1618.0,2.5,36995.0,Petrol,370.0
TOYOTA,LAND CRUISER 300,"3.3L,TWIN TURBO DIESEL",210.0,6.8,58500.0,7,650.0
TOYOTA,TUNDRA I-FORCE MAX,"3.5L,HYBRID TWIN-TURBO",180.0,6.2,56000.0,5,750.0
TOYOTA,COROLLA HATCHBACK XSE,"2.0L,1987.0,8.2,25390.0,Petrol,250.0
TOYOTA,MIRAI,"HYDROGEN FUEL CELL,1.24,9.0,49500.0,Hydrogen,335.0
TOYOTA,HILUX GR SPORT,"2.8L,DIESEL",170.0,10.0,50000.0,5,500.0
TOYOTA,ALPHARD EXECUTIVE LOUNGE,"2.5L,HYBRID,1985.3333333333333,296.0,180.0,60000.0,Petrol,7,400.0
TOYOTA,FORTUNER GR SPORT,"2.8L,DIESEL",175.0,10.5,55000.0,7,500.0
TOYOTA,INNOVA HYCROSS,2.0L HYBRID,184.0,40000.0,Hybrid,7
TOYOTA,COASTER,"4.0L,4009.0,,70000.0,Diesel,500.0
TOYOTA,URBAN CRUISER TAISOR,"1.5L,1490.0,11.0,25000.0,Petrol,130.0
TOYOTA,AYGO X,"1.0L,998.0,14.8,18000.0,Petrol,93.0
TOYOTA,HILUX REVO ROCCO,"2.8L,DIESEL",175.0,10.0,50000.0,5,500.0
TOYOTA,PROACE VERSO ELECTRIC,ELECTRIC MOTOR,136.0,55000.0,Electric,7
TOYOTA,CENTURY SUV,"3.5L,PLUG IN HYBRID",200.0,6.0,170000.0,5,500.0
